Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4,Bottom of the 6th Yankees Batting Behind 0-2 Twins' Johan Santana facing 2-3-4
b6,0-2,0,---,2(1-0) BX,,NYY,A. Rodriguez,J. Santana,-6%,67%,Single to CF (Line Drive)
b6,0-2,0,1--,7(1-2) SFBFFFX,O,NYY,G. Sheffield,J. Santana,5%,72%,Groundout: SS-2B/Forceout at 2B
b6,0-2,1,1--,1(0-0) X,O,NYY,B. Williams,J. Santana,5%,77%,Flyball: CF
b6,0-2,2,1--,4(1-2) BSCX,,NYY,J. Posada,J. Santana,-3%,74%,Single to LF (Ground Ball); Sheffield to 2B
b6,0-2,2,12-,5(2-2) BFCBX,O,NYY,H. Matsui,J. Santana,7%,81%,Groundout: 2B-1B
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Twins 2 Yankees 0.,0 runs 2 hits 0 errors 2 LOB. Twins 2 Yankees 0.,0 runs 2 hits 0 errors 2 LOB. Twins 2 Yankees 0.
Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9,Top of the 7th Twins Batting Ahead 2-0 Yankees' Mike Mussina facing 7-8-9
t7,2-0,0,---,5(0-2) CCFFX,O,MIN,C. Guzman,M. Mussina,-2%,79%,Flyball: CF
t7,2-0,1,---,1(0-0) X,,MIN,M. Cuddyer,M. Mussina,2%,81%,Single to CF (Ground Ball)
