Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b7,0-2,0,---,2(0-1) CX,O,ATL,C. Thomas,R. Oswalt,-4%,18%,Groundout: 2B-1B
,,,,,,,,,Dewayne Wise pinch hits for Kevin Gryboski (P) batting 9th,Dewayne Wise pinch hits for Kevin Gryboski (P) batting 9th,Dewayne Wise pinch hits for Kevin Gryboski (P) batting 9th
b7,0-2,1,---,2(1-0) .BX,,ATL,D. Wise,R. Oswalt,7%,25%,Double to RF (Ground Ball)
b7,0-2,1,-2-,5(2-2) B*BCCX,R,ATL,R. Furcal,R. Oswalt,12%,37%,Single to CF (Ground Ball); Wise Scores
,,,,,,,,,Brad Lidge replaces Jose Vizcaino (SS) pitching and batting 7thEric Bruntlett replaces Roy Oswalt (P) playing SS batting 9th,Brad Lidge replaces Jose Vizcaino (SS) pitching and batting 7thEric Bruntlett replaces Roy Oswalt (P) playing SS batting 9th,Brad Lidge replaces Jose Vizcaino (SS) pitching and batting 7thEric Bruntlett replaces Roy Oswalt (P) playing SS batting 9th
b7,1-2,1,1--,2(0-1) ..C>B,,ATL,M. Giles,B. Lidge,10%,47%,Furcal Steals 2B; Furcal to 3B/Adv on E2 (throw)
b7,1-2,1,--3,5(2-2) ..C>B.B>LS,O,ATL,M. Giles,B. Lidge,-13%,34%,Strikeout Swinging
b7,1-2,2,--3,4(1-2) BCS*B,O,ATL,J. Drew,B. Lidge,-8%,26%,Baserunner Out Advancing; Furcal out at Hm/C-P
,,,,,,,,,1 run 2 hits 1 error 0 LOB. Astros 2 Braves 1.,1 run 2 hits 1 error 0 LOB. Astros 2 Braves 1.,1 run 2 hits 1 error 0 LOB. Astros 2 Braves 1.
Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2,Top of the 8th Astros Batting Ahead 2-1 Braves' John Smoltz facing 9-1-2
,,,,,,,,,John Smoltz replaces Dewayne Wise (PH) pitching and batting 9th,John Smoltz replaces Dewayne Wise (PH) pitching and batting 9th,John Smoltz replaces Dewayne Wise (PH) pitching and batting 9th
t8,2-1,0,---,7(3-2) .SFBFBBX,O,HOU,E. Bruntlett,J. Smoltz,2%,28%,Groundout: 1B unassisted
t8,2-1,1,---,1(0-0) X,O,HOU,C. Biggio,J. Smoltz,2%,30%,Groundout: SS-1B
t8,2-1,2,---,4(1-2) BSSS,O,HOU,C. Beltran,J. Smoltz,1%,31%,Strikeout Swinging
